country_code,country,area_code,state,GMT_offset,DST,DST_range,geographic_description,tz_code,php_tz
1,'USA','201','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
1,'USA','202','DC','-5','Y','SSM-FSN','District of Columbia','EST','America/New_York'
1,'USA','203','CT','-5','Y','SSM-FSN','Connecticut','EST','America/New_York'
1,'USA','205','AL','-6','Y','SSM-FSN','Alabama','CST','America/Chicago'
1,'USA','206','WA','-8','Y','SSM-FSN','Washington','PST','America/Los_Angeles'
1,'USA','207','ME','-5','Y','SSM-FSN','Maine','EST','America/New_York'
1,'USA','208','ID','-7','Y','SSM-FSN','Idaho','MST','America/Denver'
1,'USA','209','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','210','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','212','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','213','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','214','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','215','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','216','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'USA','217','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','218','MN','-6','Y','SSM-FSN','Minnesota','CST','America/Chicago'
1,'USA','219','IN','-6','Y','SSM-FSN','Indiana','CST','America/Chicago'
1,'USA','220','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'USA','223','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','224','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','225','LA','-6','Y','SSM-FSN','Louisiana','CST','America/Chicago'
1,'USA','227','MD','-5','Y','SSM-FSN','Maryland','EST','America/New_York'
1,'USA','228','MS','-6','Y','SSM-FSN','Mississippi','CST','America/Chicago'
1,'USA','229','GA','-5','Y','SSM-FSN','Georgia','EST','America/New_York'
1,'USA','231','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','234','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'USA','235','MO','-6','Y','SSM-FSN','Missouri','CST','America/Chicago'
1,'USA','239','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','240','MD','-5','Y','SSM-FSN','Maryland','EST','America/New_York'
1,'USA','248','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','251','AL','-6','Y','SSM-FSN','Alabama','CST','America/Chicago'
1,'USA','252','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'USA','253','WA','-8','Y','SSM-FSN','Washington','PST','America/Los_Angeles'
1,'USA','254','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','256','AL','-6','Y','SSM-FSN','Alabama','CST','America/Chicago'
1,'USA','260','IN','-5','Y','SSM-FSN','Indiana','EST','America/New_York'
1,'USA','262','WI','-6','Y','SSM-FSN','Wisconsin','CST','America/Chicago'
1,'USA','267','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','269','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','270','KY','-6','Y','SSM-FSN','Kentucky','CST','America/Chicago'
1,'USA','272','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','274','WI','-6','Y','SSM-FSN','Wisconsin','CST','America/Chicago'
1,'USA','276','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'USA','278','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','279','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','280','MD','-5','Y','SSM-FSN','Maryland','EST','America/New_York'
1,'USA','281','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','282','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','283','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'USA','301','MD','-5','Y','SSM-FSN','Maryland','EST','America/New_York'
1,'USA','302','DE','-5','Y','SSM-FSN','Delaware','EST','America/New_York'
1,'USA','303','CO','-7','Y','SSM-FSN','Colorado','MST','America/Denver'
1,'USA','304','WV','-5','Y','SSM-FSN','West Virginia','EST','America/New_York'
1,'USA','305','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
